date,share_price,oil_price,year,name,share_price_scaled
11-09-2014,42.49653,96.42,2014,FP.PA,0.857190129
11-09-2014,15.61793,96.42,2014,REP.MC,0.851359876
11-09-2014,73.97131,96.42,2014,SLB.PA,0.895450756
12-09-2014,2061.451,96.31,2014,RDSB.L,0.85174726
12-09-2014,389.3897,96.31,2014,BP.L,0.650318885
12-09-2014,176.2,96.31,2014,CNE.L,0.340207425
12-09-2014,337.6,96.31,2014,PMO.L,0.637264501
12-09-2014,152.6521,96.31,2014,STL.OL,0.926438531
12-09-2014,42.37793,96.31,2014,FP.PA,0.854297135
12-09-2014,15.58466,96.31,2014,REP.MC,0.848631035
12-09-2014,73.17117,96.31,2014,SLB.PA,0.883951116
15-09-2014,2059.791,96.43,2014,RDSB.L,0.850708791
15-09-2014,387.8574,96.43,2014,BP.L,0.645537441
15-09-2014,175.7,96.43,2014,CNE.L,0.339166736
15-09-2014,336,96.43,2014,PMO.L,0.634064165
15-09-2014,153.5175,96.43,2014,STL.OL,0.932922737
15-09-2014,41.88241,96.43,2014,FP.PA,0.842209423
15-09-2014,15.57219,96.43,2014,REP.MC,0.847607699
15-09-2014,73.21716,96.43,2014,SLB.PA,0.884612086
16-09-2014,2075.987,97.39,2014,RDSB.L,0.860835344
16-09-2014,391.2118,97.39,2014,BP.L,0.656004619
16-09-2014,178,97.39,2014,CNE.L,0.343953911
16-09-2014,337.3,97.39,2014,PMO.L,0.636664404
16-09-2014,155.3348,97.39,2014,STL.OL,0.946540251
16-09-2014,42.23818,97.39,2014,FP.PA,0.850887941
16-09-2014,15.6013,97.39,2014,REP.MC,0.849995373
16-09-2014,74.49554,97.39,2014,SLB.PA,0.902985023
17-09-2014,2063.528,97.7,2014,RDSB.L,0.853045383
17-09-2014,390.135,97.7,2014,BP.L,0.652644754
17-09-2014,184.5,97.7,2014,CNE.L,0.357482867
17-09-2014,338.2,97.7,2014,PMO.L,0.638464634
17-09-2014,155.5944,97.7,2014,STL.OL,0.948485593
17-09-2014,42.30594,97.7,2014,FP.PA,0.852540994
17-09-2014,15.7302,97.7,2014,REP.MC,0.860569488
17-09-2014,74.57831,97.7,2014,SLB.PA,0.90417451
18-09-2014,2071.418,96.82,2014,RDSB.L,0.857978984
18-09-2014,390.3421,96.82,2014,BP.L,0.653290883
18-09-2014,183.9,96.82,2014,CNE.L,0.356234027
18-09-2014,339.1,96.82,2014,PMO.L,0.640264804
18-09-2014,156.4598,96.82,2014,STL.OL,0.954970256
18-09-2014,42.34829,96.82,2014,FP.PA,0.853574075
18-09-2014,15.81752,96.82,2014,REP.MC,0.867732429
18-09-2014,74.6703,96.82,2014,SLB.PA,0.905496565
19-09-2014,2080.554,96.75,2014,RDSB.L,0.863691399
19-09-2014,391.9985,96.75,2014,BP.L,0.658459715
19-09-2014,185.9,96.75,2014,CNE.L,0.360396783
19-09-2014,343.6,96.75,2014,PMO.L,0.649265715
19-09-2014,156.3732,96.75,2014,STL.OL,0.954321619
19-09-2014,42.38641,96.75,2014,FP.PA,0.854503898
19-09-2014,15.9381,96.75,2014,REP.MC,0.877624128
19-09-2014,74.51395,96.75,2014,SLB.PA,0.903249512
22-09-2014,2076.401,95.37,2014,RDSB.L,0.861094542
22-09-2014,389.224,95.37,2014,BP.L,0.649801984
22-09-2014,178.7,95.37,2014,CNE.L,0.34541087
22-09-2014,339.2,95.37,2014,PMO.L,0.640464836
22-09-2014,156.1136,95.37,2014,STL.OL,0.952376157
22-09-2014,42.46265,95.37,2014,FP.PA,0.856363591
22-09-2014,15.86742,95.37,2014,REP.MC,0.871825444
22-09-2014,72.75731,95.37,2014,SLB.PA,0.878003048
23-09-2014,2045.671,94.87,2014,RDSB.L,0.841880362
23-09-2014,385.9939,94.87,2014,BP.L,0.63972248
23-09-2014,179.4,94.87,2014,CNE.L,0.346867828
23-09-2014,338.8,94.87,2014,PMO.L,0.639664708
23-09-2014,152.7386,94.87,2014,STL.OL,0.927086824
23-09-2014,41.81096,94.87,2014,FP.PA,0.840466308
23-09-2014,15.58466,94.87,2014,REP.MC,0.848631035
23-09-2014,73.33673,94.87,2014,SLB.PA,0.886330521
24-09-2014,2045.671,94.53,2014,RDSB.L,0.841880362
24-09-2014,385.0829,94.53,2014,BP.L,0.636879803
24-09-2014,180.8,94.53,2014,CNE.L,0.349781775
24-09-2014,339.3,94.53,2014,PMO.L,0.640664809
24-09-2014,153.2579,94.53,2014,STL.OL,0.930977508
24-09-2014,43.02002,94.53,2014,FP.PA,0.869960017
24-09-2014,15.67198,94.53,2014,REP.MC,0.855794058
24-09-2014,73.19878,94.53,2014,SLB.PA,0.884347827
25-09-2014,2016.186,95.2,2014,RDSB.L,0.823444919
25-09-2014,374.1917,95.2,2014,BP.L,0.602894234
25-09-2014,184,95.2,2014,CNE.L,0.356442178
25-09-2014,341.9,95.2,2014,PMO.L,0.645865347
25-09-2014,149.7099,95.2,2014,STL.OL,0.90439147
25-09-2014,42.50552,95.2,2014,FP.PA,0.857409357
25-09-2014,15.50982,95.2,2014,REP.MC,0.842491184
25-09-2014,72.56418,95.2,2014,SLB.PA,0.875227362
26-09-2014,2022.415,95.08,2014,RDSB.L,0.827339899
26-09-2014,374.1089,95.08,2014,BP.L,0.602635785
26-09-2014,182.9,95.08,2014,CNE.L,0.35415265
26-09-2014,335.9,95.08,2014,PMO.L,0.633864133
26-09-2014,150.7483,95.08,2014,STL.OL,0.912172613
26-09-2014,43.5002,95.08,2014,FP.PA,0.881673527
26-09-2014,15.64704,95.08,2014,REP.MC,0.85374755
26-09-2014,74.18285,95.08,2014,SLB.PA,0.898490916
29-09-2014,2034.043,95.7,2014,RDSB.L,0.834610169
29-09-2014,377.9601,95.7,2014,BP.L,0.614653478
29-09-2014,178.7,95.7,2014,CNE.L,0.34541087
29-09-2014,335,95.7,2014,PMO.L,0.632063962
29-09-2014,151.0944,95.7,2014,STL.OL,0.91476636
29-09-2014,43.14006,95.7,2014,FP.PA,0.872888358
29-09-2014,15.45992,95.7,2014,REP.MC,0.838398333
29-09-2014,74.70708,95.7,2014,SLB.PA,0.906025183
30-09-2014,2024.076,94.67,2014,RDSB.L,0.828378368
30-09-2014,375.5583,94.67,2014,BP.L,0.607158489
30-09-2014,176.5,94.67,2014,CNE.L,0.340831845
30-09-2014,333,94.67,2014,PMO.L,0.628063558
30-09-2014,151.6137,94.67,2014,STL.OL,0.918657164
30-09-2014,44.11759,94.67,2014,FP.PA,0.896734172
30-09-2014,15.63456,94.67,2014,REP.MC,0.85272405
30-09-2014,75.48883,94.67,2014,SLB.PA,0.917260579
01-10-2014,2008.711,94.57,2014,RDSB.L,0.818771507
01-10-2014,374.9786,94.57,2014,BP.L,0.605349618
01-10-2014,171.6,94.57,2014,CNE.L,0.330633107
01-10-2014,324.7,94.57,2014,PMO.L,0.611461901
01-10-2014,150.3156,94.57,2014,STL.OL,0.908930454
01-10-2014,43.48305,94.57,2014,FP.PA,0.881255147
01-10-2014,15.5514,94.57,2014,REP.MC,0.845902522
01-10-2014,72.84009,94.57,2014,SLB.PA,0.87919275
02-10-2014,1963.861,91.29,2014,RDSB.L,0.790728745
02-10-2014,364.5015,91.29,2014,BP.L,0.572656303
02-10-2014,171.5,91.29,2014,CNE.L,0.330424956
02-10-2014,309.8,91.29,2014,PMO.L,0.581658838
02-10-2014,146.2484,91.29,2014,STL.OL,0.878453612
02-10-2014,41.31791,91.29,2014,FP.PA,0.828438897
02-10-2014,15.12727,91.29,2014,REP.MC,0.811110827
02-10-2014,70.90873,91.29,2014,SLB.PA,0.851435204
03-10-2014,1979.641,90.8,2014,RDSB.L,0.800595566
03-10-2014,368.5598,90.8,2014,BP.L,0.585320031
03-10-2014,175.7,90.8,2014,CNE.L,0.339166736
03-10-2014,308.5,90.8,2014,PMO.L,0.579058598
03-10-2014,145.2964,90.8,2014,STL.OL,0.871320424
03-10-2014,41.59659,90.8,2014,FP.PA,0.835237061
03-10-2014,15.20212,90.8,2014,REP.MC,0.81725035
03-10-2014,71.63528,90.8,2014,SLB.PA,0.861877264
06-10-2014,1970.09,90.65,2014,RDSB.L,0.794623497
06-10-2014,369.4709,90.65,2014,BP.L,0.588162995
06-10-2014,179.9,90.65,2014,CNE.L,0.347908517
06-10-2014,306.7,90.65,2014,PMO.L,0.575458258
06-10-2014,144.1714,90.65,2014,STL.OL,0.862890876
06-10-2014,41.45939,90.65,2014,FP.PA,0.831890243
06-10-2014,15.23954,90.65,2014,REP.MC,0.820320275
