,date,share_price,oil_price,year,name,share_price_scaled
84,20-01-2000,254.31221,26.26,2000,BP.L,0.228815051
85,20-01-2000,17.205,26.26,2000,CNE.L,0.009278782
86,20-01-2000,27.347178,26.26,2000,PMO.L,0.016696046
87,20-01-2000,40.675255,26.26,2000,STL.OL,0.087369281
88,20-01-2000,7.960331,26.26,2000,FP.PA,0.014717692
89,20-01-2000,10.207789,26.26,2000,REP.MC,0.40756107
90,20-01-2000,14.712403,26.26,2000,ENGI.PA,0.477051957
91,21-01-2000,263.445007,27.18,2000,BP.L,0.257313578
92,21-01-2000,16.440001,27.18,2000,CNE.L,0.00768653
93,21-01-2000,27.347178,27.18,2000,PMO.L,0.016696046
94,21-01-2000,39.94389,27.18,2000,STL.OL,0.081888989
95,21-01-2000,8.095769,27.18,2000,FP.PA,0.018021552
96,21-01-2000,10.183785,27.18,2000,REP.MC,0.405591999
97,21-01-2000,14.702258,27.18,2000,ENGI.PA,0.476579698
98,24-01-2000,269.767639,27.02,2000,BP.L,0.277043098
99,24-01-2000,16.371,27.02,2000,CNE.L,0.007542913
100,24-01-2000,27.347178,27.02,2000,PMO.L,0.016696046
101,24-01-2000,40.281437,27.02,2000,STL.OL,0.084418309
102,24-01-2000,8.30509,27.02,2000,FP.PA,0.023127707
103,24-01-2000,10.323023,27.02,2000,REP.MC,0.417013822
104,24-01-2000,14.681964,27.02,2000,ENGI.PA,0.475634992
105,25-01-2000,262.742462,27.24,2000,BP.L,0.255121314
106,25-01-2000,16.165001,27.24,2000,CNE.L,0.007114151
107,25-01-2000,27.347178,27.24,2000,PMO.L,0.016696046
108,25-01-2000,38.706192,27.24,2000,STL.OL,0.072614623
109,25-01-2000,8.145023,27.24,2000,FP.PA,0.019223049
110,25-01-2000,10.178983,27.24,2000,REP.MC,0.405198087
111,25-01-2000,14.610939,27.24,2000,ENGI.PA,0.47232871
112,26-01-2000,259.932465,27.18,2000,BP.L,0.246352831
113,26-01-2000,16.093,27.18,2000,CNE.L,0.00696429
114,26-01-2000,27.347178,27.18,2000,PMO.L,0.016696046
115,26-01-2000,38.537415,27.18,2000,STL.OL,0.071349937
116,26-01-2000,8.058829,27.18,2000,FP.PA,0.017120442
117,26-01-2000,9.842887,27.18,2000,REP.MC,0.37762782
118,26-01-2000,14.205076,27.18,2000,ENGI.PA,0.453435396
119,27-01-2000,260.400787,26.91,2000,BP.L,0.247814211
120,27-01-2000,15.956,26.91,2000,CNE.L,0.006679141
121,27-01-2000,27.347178,26.91,2000,PMO.L,0.016696046
122,27-01-2000,38.4249,26.91,2000,STL.OL,0.070506835
123,27-01-2000,8.083456,26.91,2000,FP.PA,0.01772119
124,27-01-2000,9.612417,26.91,2000,REP.MC,0.358722152
125,27-01-2000,14.103616,26.91,2000,ENGI.PA,0.448712335
126,28-01-2000,260.166626,26.59,2000,BP.L,0.247083521
127,28-01-2000,15.956,26.59,2000,CNE.L,0.006679141
128,28-01-2000,27.347178,26.59,2000,PMO.L,0.016696046
129,28-01-2000,37.355972,26.59,2000,STL.OL,0.062497103
130,28-01-2000,7.966483,26.59,2000,FP.PA,0.014867763
